テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-093,TD024,TV018,TA005,コードベース,Integration,高,退職年齢以後給与変更,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=65, retirementAge=65, salaryChanges=[{age:65,salary:4000000}]",TD024 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,給与期間外のため年金または退職後収入に影響しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-094,TD025,TV019,TA005,コードベース,Integration,高,複数年齢の月次反映,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:35,salary:4000000},{age:40,salary:7000000}]",TD025 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"35歳行は年収4,000,000円、40歳行は年収7,000,000円として出力される。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-010,実行ログでテストケースIDの失敗を確認
TC-CB-095,TD025,TV019,TA005,コードベース,Integration,高,同一年齢最後追加の月次反映,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"追加順=[35歳4,000,000円, 35歳5,000,000円]",TD025 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"35歳行は最後に追加した年収5,000,000円として出力される。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-011,実行ログでテストケースIDの失敗を確認
TC-CB-096,TD025,TV019,TA005,コードベース,Integration,高,削除後再実行の月次反映,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"35歳5,000,000円を削除し35歳4,000,000円だけ残す",TD025 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"再実行後の35歳行は年収4,000,000円として出力される。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-097,TD026,TV022,TA006,コードベース,Integration,高,退職境界と給与変更とイベントと補填の複合,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=64, retirementAge=65, pensionStartAge=66, salaryChanges=[{age:64,salary:4000000}], initialCash=0, initialInv=240000, eventProb=1, eventTypes=[{name:入院,cost:200000}]",TD026 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"収入種別, 給与変更, イベント費用, 投資補填, 表示丸めが同じ月次結果内で仕様の判定順に従い破綻しない。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2, 5.1, 5.2, 5.3","R002, R003, R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-098,TD027,TV023,TA007,コードベース,Integration,高,全主要数値欄の空欄代表,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,startAge以外の主要数値欄を空欄相当でDOM設定,TD027 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,例外なく結果が生成され、出力にNaNやInfinityが混入しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-099,TD027,TV023,TA007,コードベース,Integration,高,全主要数値欄のInfinity相当代表,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary欄など主要数値欄へInfinity相当をDOM設定,TD027 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,有限数でない値は0へフォールバックし、出力にInfinityが混入しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Fail,20260531221233,npm run test:codebase,BUG-012,実行ログでテストケースIDの失敗を確認
TC-CB-100,TD027,TV023,TA007,コードベース,Integration,高,全主要数値欄のNaN相当代表,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary欄など主要数値欄へNaN相当をDOM設定,TD027 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,NaNは0へフォールバックし、出力にNaNが混入しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-101,TD028,TV025,TA007,コードベース,Integration,中,指数表記,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary DOM値=1e6,TD028 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"最終DOM値が有効な数値なら1,000,000円として扱われ、結果生成が止まらない。","コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-102,TD028,TV025,TA007,コードベース,Integration,中,貼り付け値,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary欄へ3000000を貼り付けたDOM値,TD028 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,貼り付け後のDOM値が数値として扱われ、結果生成が止まらない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-103,TD028,TV025,TA007,コードベース,Integration,中,DOM値直接設定,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary DOM値を4000000に直接設定,TD028 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,DOM値4000000を通常数値として扱い、結果生成が止まらない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-104,TD029,TV026,TA007,コードベース,Integration,高,HTML断片貼り付け,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary欄へ<img onerror=alert(1)>相当を貼り付け,TD029 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,スクリプト実行やHTML解釈が起きず、安全に0フォールバックまたはブラウザ拒否として扱われる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-105,TD029,TV026,TA007,コードベース,Integration,高,HTML断片DOM値設定,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary DOM値=<script>alert(1)</script>,TD029 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,スクリプト実行やHTML解釈が起きず、結果表示へHTMLとして混入しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-106,TD029,TV026,TA007,コードベース,Integration,高,特殊文字列DOM値設定,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salary DOM値=<>\u0026\""test",TD029 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,スクリプト実行やHTML解釈が起きず、結果生成が停止しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 8.2",R007,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
